epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43817,1.62082,3.95376,1.68307,0.02423,0.67388,0.10944,0.05662,1.13534,3.55826,1.59688,9.375e-05,9.375e-05,9.375e-05
2,13.1554,1.43386,3.60759,1.46746,0.01498,0.79188,0.11417,0.05184,1.35297,3.40396,1.74286,0.000191832,0.000191832,0.000191832
3,17.7989,1.39092,2.98388,1.51262,0.64301,0.13819,0.21047,0.12925,1.25235,2.61343,1.67906,0.000287934,0.000287934,0.000287934
4,22.5778,1.40862,2.45821,1.4572,0.75998,0.27345,0.44862,0.27168,1.27294,2.2798,1.70262,0.000382056,0.000382056,0.000382056
5,29.0586,1.39549,2.15035,1.46812,0.80032,0.37524,0.52332,0.29964,1.276,1.81176,1.70409,0.000474197,0.000474197,0.000474197
6,34.947,1.3672,1.88973,1.41977,0.77818,0.35685,0.69869,0.40368,1.19535,1.98991,1.6524,0.000564359,0.000564359,0.000564359
7,40.333,1.38311,1.8468,1.4813,0.78664,0.54133,0.79115,0.46056,1.348,1.58584,1.76689,0.000587875,0.000587875,0.000587875
8,44.7496,1.33494,1.55897,1.37283,0.73491,0.72248,0.80006,0.4914,1.25128,1.33249,1.62887,0.000581687,0.000581687,0.000581687
9,49.9428,1.30857,1.54479,1.42141,0.77893,0.73779,0.85133,0.5329,1.19538,1.31643,1.56984,0.0005755,0.0005755,0.0005755
10,55.2038,1.32017,1.56521,1.40209,0.86005,0.81873,0.86709,0.5254,1.22703,1.04933,1.60804,0.000569313,0.000569313,0.000569313
11,60.2157,1.29561,1.39275,1.367,0.91623,0.84074,0.88593,0.56435,1.19959,0.99756,1.55375,0.000563125,0.000563125,0.000563125
12,65.9124,1.30569,1.41351,1.37211,0.86049,0.88167,0.89424,0.55604,1.26673,1.06257,1.62518,0.000556938,0.000556938,0.000556938
13,70.3992,1.26249,1.3857,1.32478,0.89477,0.87604,0.9008,0.57471,1.22372,1.11274,1.62569,0.00055075,0.00055075,0.00055075
14,75.7641,1.28143,1.30258,1.34579,0.94331,0.88142,0.90792,0.57408,1.19525,0.82514,1.54463,0.000544563,0.000544563,0.000544563
15,81.1493,1.26503,1.2738,1.30983,0.94311,0.89408,0.90933,0.57192,1.21712,0.8945,1.59693,0.000538375,0.000538375,0.000538375
16,86.0605,1.25346,1.23862,1.3171,0.94319,0.88914,0.90332,0.58136,1.16401,0.93981,1.50045,0.000532187,0.000532187,0.000532187
17,91.8395,1.24517,1.18523,1.34274,0.94862,0.89404,0.90576,0.56377,1.22443,0.81272,1.57332,0.000526,0.000526,0.000526
18,96.39,1.22337,1.13241,1.30417,0.9668,0.89922,0.90528,0.59198,1.12755,0.74422,1.47211,0.000519812,0.000519812,0.000519812
19,101.61,1.2435,1.2119,1.32045,0.96526,0.89377,0.91039,0.59025,1.1391,0.71302,1.47458,0.000513625,0.000513625,0.000513625
20,106.51,1.21219,1.14578,1.31135,0.95076,0.91177,0.90785,0.59414,1.12718,0.74774,1.45882,0.000507438,0.000507438,0.000507438
21,111.316,1.16123,1.2035,1.30553,0.95283,0.89867,0.91008,0.59114,1.12569,0.82344,1.45961,0.00050125,0.00050125,0.00050125
22,116.93,1.21061,1.17574,1.31471,0.95399,0.90259,0.90712,0.58511,1.12169,0.77673,1.4629,0.000495063,0.000495063,0.000495063
23,121.377,1.19069,1.10449,1.27111,0.93896,0.89812,0.90875,0.58328,1.19585,0.80883,1.51026,0.000488875,0.000488875,0.000488875
24,125.904,1.20612,1.0934,1.30682,0.94543,0.90919,0.90932,0.5965,1.15475,0.72876,1.47046,0.000482687,0.000482687,0.000482687
25,131.465,1.18253,1.09206,1.29921,0.94676,0.88736,0.91008,0.60199,1.13824,0.86772,1.4476,0.0004765,0.0004765,0.0004765
26,135.91,1.19525,1.09279,1.29925,0.9433,0.88818,0.91002,0.61126,1.11057,0.68859,1.44764,0.000470312,0.000470312,0.000470312
27,141.378,1.14075,1.01734,1.24086,0.94205,0.90146,0.90737,0.59472,1.14595,0.71153,1.48444,0.000464125,0.000464125,0.000464125
28,145.958,1.17716,1.05467,1.29906,0.96874,0.89503,0.90613,0.5862,1.23814,0.7153,1.57514,0.000457938,0.000457938,0.000457938
29,150.311,1.16003,1.04,1.25871,0.94425,0.90904,0.90554,0.61466,1.06227,0.66797,1.43568,0.00045175,0.00045175,0.00045175
30,155.855,1.13562,1.02546,1.27893,0.96513,0.89296,0.90834,0.5983,1.14324,0.67597,1.515,0.000445562,0.000445562,0.000445562
31,160.304,1.1444,1.03212,1.27361,0.97341,0.91007,0.90781,0.59929,1.1291,0.64341,1.48365,0.000439375,0.000439375,0.000439375
32,164.618,1.11689,1.05124,1.3042,0.97048,0.90679,0.90876,0.59855,1.09958,0.67535,1.4409,0.000433187,0.000433187,0.000433187
33,170.078,1.1095,0.95346,1.24714,0.96935,0.90701,0.91057,0.60724,1.08788,0.64954,1.40965,0.000427,0.000427,0.000427
34,174.524,1.1466,0.98249,1.25255,0.95353,0.9095,0.90973,0.60289,1.10612,0.72888,1.42654,0.000420812,0.000420812,0.000420812
35,179.632,1.09426,0.96562,1.23917,0.9711,0.90249,0.90801,0.5996,1.11918,0.62759,1.44552,0.000414625,0.000414625,0.000414625
