epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8,1.65168,4.25346,1.63733,0.0037,0.65734,0.01813,0.00882,1.40322,3.55314,1.61749,4.614e-05,4.614e-05,4.614e-05
2,18.7353,1.47275,4.09721,1.51643,0.00734,0.86274,0.15106,0.08907,1.20491,3.47795,1.4112,9.89803e-05,9.89803e-05,9.89803e-05
3,25.6893,1.40414,3.47805,1.4466,0.00737,0.95017,0.17104,0.10328,1.20242,3.29933,1.34543,0.000150755,0.000150755,0.000150755
4,32.6072,1.40617,2.78,1.43909,0.00901,0.98475,0.28495,0.16392,1.24494,3.159,1.34271,0.000201463,0.000201463,0.000201463
5,39.4922,1.346,2.41935,1.42797,0.01331,0.97281,0.38206,0.2312,1.23314,3.1027,1.34826,0.000251106,0.000251106,0.000251106
6,46.3584,1.34856,2.17862,1.39476,0.0138,0.95893,0.49657,0.31157,1.22817,3.04803,1.36033,0.000299683,0.000299683,0.000299683
7,53.2551,1.27652,1.87041,1.35225,0.9875,0.05067,0.54717,0.34005,1.23051,2.95895,1.3481,0.000347194,0.000347194,0.000347194
8,60.1513,1.32535,1.74357,1.36762,0.97149,0.0521,0.45263,0.27275,1.29455,3.0365,1.36939,0.00039364,0.00039364,0.00039364
9,67.013,1.27513,1.62165,1.34494,0.95107,0.20191,0.66479,0.35581,1.39823,2.74245,1.49706,0.000439019,0.000439019,0.000439019
10,73.9624,1.2593,1.45924,1.30935,0.9402,0.3391,0.85583,0.5377,1.23269,2.3335,1.40425,0.000483333,0.000483333,0.000483333
11,80.8706,1.25946,1.4607,1.32693,0.9399,0.51551,0.90348,0.54738,1.35302,2.15149,1.49068,0.00052658,0.00052658,0.00052658
12,87.847,1.24509,1.35842,1.29712,0.93095,0.49054,0.90397,0.5383,1.3633,2.17698,1.46455,0.000568762,0.000568762,0.000568762
13,94.7514,1.22585,1.35208,1.30091,0.91478,0.52769,0.88127,0.48499,1.49388,2.10654,1.64132,0.000609879,0.000609879,0.000609879
14,101.647,1.22612,1.29927,1.29709,0.85061,0.57613,0.923,0.52771,1.4057,1.89632,1.56703,0.000649929,0.000649929,0.000649929
15,108.471,1.21806,1.26767,1.27804,0.70417,0.61609,0.83393,0.46867,1.45428,1.74644,1.61048,0.000662417,0.000662417,0.000662417
16,115.264,1.23839,1.28371,1.30659,0.81984,0.66556,0.88878,0.50953,1.47242,1.65304,1.62527,0.000654804,0.000654804,0.000654804
17,121.999,1.22001,1.19167,1.28688,0.89713,0.73564,0.91206,0.54287,1.37537,1.56052,1.57781,0.00064719,0.00064719,0.00064719
18,128.747,1.19793,1.12843,1.26981,0.82693,0.72179,0.86637,0.50686,1.41468,1.49889,1.56899,0.000639577,0.000639577,0.000639577
19,135.461,1.1962,1.12612,1.2654,0.87167,0.8214,0.91957,0.55199,1.3468,1.35505,1.50799,0.000631964,0.000631964,0.000631964
20,142.179,1.2084,1.11479,1.26469,0.85402,0.84746,0.91889,0.58386,1.28948,1.00196,1.44329,0.000624351,0.000624351,0.000624351
21,148.901,1.15981,1.04329,1.2442,0.91855,0.91823,0.97619,0.62119,1.28901,0.90003,1.43105,0.000616738,0.000616738,0.000616738
22,155.6,1.15591,1.00898,1.22448,0.88056,0.90487,0.95772,0.53498,1.45617,0.93878,1.55863,0.000609125,0.000609125,0.000609125
23,162.254,1.14256,0.97456,1.23314,0.91848,0.92598,0.97718,0.59552,1.38814,0.8191,1.48589,0.000601512,0.000601512,0.000601512
24,168.88,1.14948,0.97862,1.2365,0.95692,0.9343,0.97987,0.6336,1.2555,0.74913,1.40109,0.000593899,0.000593899,0.000593899
25,175.628,1.1268,0.96458,1.21666,0.95234,0.97683,0.9845,0.62917,1.26981,0.70646,1.43008,0.000586286,0.000586286,0.000586286
26,182.298,1.12622,0.93887,1.21933,0.93104,0.95229,0.97474,0.61517,1.29727,0.72782,1.42608,0.000578672,0.000578672,0.000578672
