epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51721,1.64144,3.6622,1.83503,0.01461,0.98624,0.15466,0.09016,1.18188,3.23358,1.73066,0.00011662,0.00011662,0.00011662
2,6.61234,1.43087,3.30902,1.70209,0.01191,0.97482,0.23619,0.1437,1.20684,3.06943,1.86717,0.000239178,0.000239178,0.000239178
3,8.69359,1.33181,2.88593,1.5859,0.72763,0.08942,0.33129,0.19488,1.1685,2.55272,1.55851,0.000359263,0.000359263,0.000359263
4,10.8287,1.30889,2.54856,1.56073,0.58554,0.61058,0.54807,0.31129,1.19807,1.77681,1.95693,0.000476873,0.000476873,0.000476873
5,12.8453,1.31233,2.26084,1.61536,0.53616,0.52409,0.55825,0.29362,1.35489,1.80422,1.77483,0.00059201,0.00059201,0.00059201
6,14.7826,1.39898,2.12287,1.68523,0.68386,0.5426,0.56978,0.30463,1.44989,1.81715,1.95679,0.000704672,0.000704672,0.000704672
7,16.7573,1.37559,1.83366,1.52795,0.74321,0.64281,0.72561,0.41277,1.37083,2.09472,1.86238,0.00078352,0.00078352,0.00078352
8,18.7586,1.34777,1.8023,1.54144,0.76594,0.56254,0.6972,0.35297,1.55931,1.49376,2.13122,0.000775273,0.000775273,0.000775273
9,20.774,1.3257,1.63852,1.48561,0.86732,0.73732,0.79721,0.46431,1.37957,1.47035,1.66703,0.000767026,0.000767026,0.000767026
10,22.8013,1.33056,1.59421,1.47701,0.83605,0.7518,0.80741,0.45834,1.23893,1.26959,1.67806,0.00075878,0.00075878,0.00075878
11,24.8286,1.2341,1.4746,1.42206,0.82433,0.77244,0.80798,0.45536,1.7021,1.28186,2.34374,0.000750533,0.000750533,0.000750533
12,26.8315,1.30821,1.47033,1.44566,0.91712,0.81999,0.83629,0.50564,1.4931,0.96901,1.91312,0.000742286,0.000742286,0.000742286
13,28.8506,1.36733,1.76675,1.52475,0.78896,0.79357,0.82942,0.50199,1.25908,1.34784,1.67588,0.00073404,0.00073404,0.00073404
14,30.8206,1.29641,1.43926,1.45966,0.91125,0.72374,0.83633,0.51712,1.20093,1.32856,1.63268,0.000725793,0.000725793,0.000725793
15,32.8241,1.27119,1.41295,1.42518,0.8602,0.84066,0.82775,0.51197,1.36268,1.31822,1.67954,0.000717546,0.000717546,0.000717546
16,34.8081,1.22518,1.38802,1.40162,0.88328,0.83018,0.84108,0.51285,1.28844,0.94806,1.68782,0.000709299,0.000709299,0.000709299
17,36.7066,1.13409,1.72333,1.26774,0.9066,0.80184,0.84308,0.48804,1.29413,0.90846,1.76056,0.000701053,0.000701053,0.000701053
18,38.6538,1.26216,1.3176,1.40257,0.96628,0.84491,0.84442,0.52238,1.19257,0.97941,1.53493,0.000692806,0.000692806,0.000692806
19,40.6101,1.26874,1.33975,1.45775,0.9769,0.82731,0.85601,0.53637,1.21369,0.83135,1.5593,0.000684559,0.000684559,0.000684559
20,42.641,1.21675,1.25876,1.38765,0.86527,0.69778,0.70903,0.33533,2.5984,1.92021,2.90213,0.000676313,0.000676313,0.000676313
21,44.553,1.21712,1.25198,1.40721,0.94828,0.82584,0.85754,0.52489,1.47229,0.81199,1.87455,0.000668066,0.000668066,0.000668066
22,46.5496,1.20157,1.16795,1.40958,0.94317,0.84221,0.8453,0.51765,1.5397,0.8364,2.05119,0.000659819,0.000659819,0.000659819
23,48.5068,1.17614,1.2049,1.35161,0.95851,0.83993,0.86378,0.53881,1.29509,0.88322,1.6346,0.000651573,0.000651573,0.000651573
24,50.4314,1.13903,1.10639,1.35704,0.94817,0.87106,0.86821,0.56294,1.14073,0.704,1.49094,0.000643326,0.000643326,0.000643326
25,52.3809,1.14855,1.12979,1.36836,0.97484,0.8072,0.86251,0.571,1.01339,0.69052,1.42228,0.000635079,0.000635079,0.000635079
26,54.3717,1.15312,1.12436,1.32358,0.95135,0.85146,0.85318,0.55587,1.10026,0.66832,1.50777,0.000626832,0.000626832,0.000626832
27,56.3354,1.1793,1.03978,1.35147,0.94734,0.82671,0.85569,0.53587,1.10044,0.65546,1.47552,0.000618586,0.000618586,0.000618586
28,58.3342,1.1921,1.0685,1.37344,0.94726,0.86667,0.86787,0.56484,1.23627,0.68564,1.59124,0.000610339,0.000610339,0.000610339
29,60.3334,1.15966,1.06962,1.3916,0.95552,0.86127,0.8639,0.57785,1.11823,0.65263,1.47593,0.000602092,0.000602092,0.000602092
30,62.2925,1.12795,0.9709,1.31891,0.94432,0.87332,0.8636,0.54718,1.07303,0.63039,1.44852,0.000593846,0.000593846,0.000593846
31,64.2127,1.09301,0.99558,1.32469,0.97502,0.86136,0.8655,0.56141,1.09884,0.77682,1.53422,0.000585599,0.000585599,0.000585599
32,66.16,1.11585,0.99737,1.29053,0.94315,0.86538,0.86127,0.56966,1.09081,0.60757,1.47892,0.000577352,0.000577352,0.000577352
33,68.0526,1.11145,0.97606,1.31743,0.95709,0.84615,0.85732,0.5705,1.15412,0.6518,1.57056,0.000569106,0.000569106,0.000569106
34,70.0188,1.11743,0.94255,1.306,0.96646,0.85273,0.8602,0.58126,1.12731,0.67056,1.51042,0.000560859,0.000560859,0.000560859
35,71.9849,1.11876,0.95658,1.31087,0.94628,0.85075,0.85503,0.56075,1.17833,0.66117,1.63117,0.000552612,0.000552612,0.000552612
36,73.9294,1.12597,0.95821,1.32518,0.96833,0.86306,0.85905,0.58523,1.13273,0.68393,1.5808,0.000544365,0.000544365,0.000544365
37,75.8673,1.06381,0.89741,1.29641,0.96576,0.86833,0.86344,0.58816,1.15986,0.70918,1.60719,0.000536119,0.000536119,0.000536119
38,77.8477,1.08621,0.87891,1.28419,0.96343,0.87147,0.86301,0.57943,1.1449,0.60309,1.66958,0.000527872,0.000527872,0.000527872
39,79.8086,1.08029,0.88205,1.30741,0.95358,0.87196,0.86781,0.57441,1.09364,0.57643,1.5381,0.000519625,0.000519625,0.000519625
40,81.7932,1.05883,1.0657,1.2989,0.96353,0.86137,0.86206,0.58433,1.09653,0.66298,1.50396,0.000511379,0.000511379,0.000511379
41,83.7448,1.06737,0.88483,1.26948,0.97061,0.86599,0.86797,0.58571,1.05812,0.57789,1.4566,0.000503132,0.000503132,0.000503132
42,85.6777,1.05292,0.88817,1.28503,0.97193,0.85607,0.86456,0.57176,1.20368,0.63007,1.53361,0.000494885,0.000494885,0.000494885
43,87.6271,1.0134,0.84187,1.26014,0.97925,0.85361,0.85969,0.5735,1.09772,0.59406,1.62234,0.000486639,0.000486639,0.000486639
44,89.601,1.11005,0.93066,1.33018,0.97052,0.86239,0.84759,0.57063,1.09355,0.75208,1.59821,0.000478392,0.000478392,0.000478392
45,91.5245,1.01195,0.81493,1.24278,0.97626,0.86092,0.86108,0.57651,1.13564,0.66046,1.67646,0.000470145,0.000470145,0.000470145
46,93.4831,1.03969,0.84381,1.2538,0.97134,0.86433,0.86223,0.59067,1.11494,0.56795,1.70779,0.000461898,0.000461898,0.000461898
47,95.4345,0.99529,0.83229,1.22362,0.97056,0.85953,0.86868,0.57164,1.21578,0.5987,1.71792,0.000453652,0.000453652,0.000453652
48,97.38,1.01808,0.82361,1.28252,0.96409,0.86625,0.86726,0.58401,1.12776,0.60965,1.71736,0.000445405,0.000445405,0.000445405
49,99.3123,1.08359,0.8959,1.26888,0.98114,0.86538,0.86665,0.57816,1.1739,0.56408,1.76148,0.000437158,0.000437158,0.000437158
50,101.235,1.05372,0.80321,1.31801,0.97217,0.8616,0.86798,0.59082,1.12426,0.61516,1.58237,0.000428912,0.000428912,0.000428912
51,103.195,1.04531,1.00701,1.31376,0.97295,0.86524,0.86304,0.58376,1.26906,0.63314,1.71983,0.000420665,0.000420665,0.000420665
52,105.166,1.08762,0.87425,1.31975,0.96691,0.8419,0.85811,0.58943,1.15889,0.81357,1.62979,0.000412418,0.000412418,0.000412418
53,107.097,1.00529,0.81828,1.26085,0.96792,0.8629,0.85985,0.5928,1.1631,0.56262,1.69881,0.000404172,0.000404172,0.000404172
54,109.04,0.94646,0.79883,1.22888,0.97032,0.8532,0.85044,0.58873,1.1198,0.55863,1.67499,0.000395925,0.000395925,0.000395925
55,110.964,0.99799,0.78373,1.27756,0.96967,0.86383,0.86238,0.59856,1.07642,0.57247,1.66734,0.000387678,0.000387678,0.000387678
56,112.904,0.98776,0.77283,1.24305,0.98163,0.87038,0.86747,0.59323,1.16794,0.58703,1.70524,0.000379431,0.000379431,0.000379431
57,114.799,0.98543,0.8008,1.23118,0.97277,0.875,0.86633,0.59755,1.13525,0.55562,1.72758,0.000371185,0.000371185,0.000371185
